X,Y,LINE,NAME,DISTRICT,SECTOR,STATION_ID,NOTE
1017753,258018,"D","Norwood / 205 Street","11","",210,"D-all times"
1021019,256729,"2,5","Burke Avenue","12","A",422,"2-all times, 5-rush hours AM southbound, PM northbound"
984298,200927,"J,Z","Canal Street","02","",104,"J-all times, Z-rush hours AM westbound, PM eastbound"
1020908,251604,"2,5","Pelham Parkway","12","A",424,"2-all times, 5-rush hours AM southbound, PM northbound"
1013704,255159,"B,D","Kingsbridge Road","11","",212,"B-rush hours, D-all times"
1019294,246016,"2,5","East 180 Street","12","A",426,"2,5-all times"
996521,157624,"Q","Avenue U","34","",52,"Q-all times"
1015326,244310,"2,5","174 Street","12","B",428,"2-all times, 5-all times exc nights, skips rush hours AM southbound, PM northbound"
1011708,251191,"B,D","182-183 Streets","11","",214,"B-rush hours, D-all times, skips rush hours AM southbound, PM northbound"
1013845,239492,"2,5","Simpson Street","12","B",430,"2-all times, 5-all times exc nights, skips rush hours AM southbound, PM northbound"
982049,197957,"J,Z","Fulton Street","02","",106,"J-all times, Z-rush hours AM westbound, PM eastbound"
1011436,237854,"2,5","Prospect Avenue","12","B",432,"2-all times, 5-all times exc nights, skips rush hours AM southbound, PM northbound"
1009113,247474,"B,D","174-175 Streets","11","",216,"B-rush hours, D-all times, skips rush hours AM southbound, PM northbound"
1007005,236589,"2,5","3 Avenue / 149 Street","12","B",434,"2-all times, 5-all times exc nights"
989305,190899,"B,Q,R","Dekalb Avenue","30","A",26,"B-weekdays and evenings, D-all other times, N-nights, R-all other times, Q-all times"
1001833,239445,"3","148 Street / Harlem","03","",436,"3-all times"
1006822,243052,"B,D","167 Street","11","",218,"B-rush hours, D-all times, skips rush hours AM southbound, PM northbound"
1000645,235928,"2,3","135 Street","03","",438,"2,3-all times"
1014863,198489,"M","Middle Village / Metropolitan Avenue","33","",108,"M-all times"
998197,231507,"2,3","116 Street","03","",440,"2,3-all times"
1001350,241724,"B,D","155 Street","03","",220,"B-rush hours, D-all times, skips rush hours AM southbound, PM northbound"
1031024,262955,"5","Dyre Avenue / Eastchester","12","A",442,"5-all times"
997011,152975,"B,Q","Sheepshead Bay","34","",54,"B-weekdays and evenings, Q-all times"
1026736,256107,"5","Gun Hill Road","12","A",444,"5-all times"
997206,215867,"J,Z","Roosevelt Island","20","",222,"F-all times"
1022842,250576,"5","Morris Park","12","A",446,"5-all times"
1011124,195928,"M","Forest Avenue","33","",110,"M-all times"
1027020,214244,"7","Willets Point / Citi Field","20","",448,"7-all times, 7 Express-rush hours AM westbound, PM eastbound"
990519,217654,"F","57 Street / 6 Avenue","01","",224,"F-all times"
1022292,212503,"7","103 Street / Corona Plaza","20","",450,"7-all times"
991633,217919,"N,R,W","5 Avenue / 59 Street","01","",8,"N-all times, R-all times exc nights, W part time"
1018438,211966,"7","90 Street / Elmhurst Avenue","20","",452,"7-all times"
988519,214047,"B,D,F,M","42 Street / Bryant Park","01","",226,"B,M-weekdays and evenings, D,F-all times"
1014396,211399,"7","74 Street / Broadway","20","",454,"7-all times"
1008601,194119,"L,M","Myrtle / Wyckoff Avenues","33","",112,"M-all times"
1011132,210945,"7","61 Street / Woodside","20","",456,"7-all times, 7 Express-rush hours AM westbound, PM eastbound"
986255,209955,"F,M","23 Street","02","",228,"F-all times, M-weekdays and evenings"
1006852,210030,"7","46 Street","20","",458,"7-all times"
993000,149244,"Q","Ocean Parkway","34","",56,"Q-all times"
1003370,210557,"7","33 Street","20","",460,"7-all times"
985302,203522,"B,D,F,M","Broadway / Lafayette Street","04","",230,"B,M-weekdays and evenings, D,F-all times"
999417,211442,"7","45 Road / Court House Square","20","",462,"7-all times, 7 Express-rush hours AM westbound, PM eastbound"
1004425,193539,"M","Central Avenue","33","",114,"M-all times"
997113,209839,"7","Vernon Boulevard / Jackson Avenue","20","",464,"7-all times, 7 Express-rush hours AM westbound, PM eastbound"
987039,202831,"F","2 Avenue","04","",232,"F-all times"
989247,213915,"7","5 Avenue / 42 Street","01","",466,"7-all times, 7 Express-rush hours AM westbound, PM eastbound"
988935,186041,"R","Union Street","32","",28,"D,N-nights, R-all other times"
988065,214702,"S","42 Street / Times Square","01","",468,"S to Grand Central-all times exc nights, closed nights-use 7"
986973,199353,"F","East Broadway","04","",234,"F-all times"
983641,214506,"7","34 Street / Hudson Yards","01","",471,"7-all times, 7 Express-rush hours AM westbound, PM eastbound"
984873,208056,"L","6 Avenue","02","",116,"L-all times"
